velocity_ms,lateral_accel_ms2,max_accel_ms2,max_brake_ms2
3,37,0,-0.00539507
3,38,0,-0.00539507
3,39,0,-0.00539507
3,40,0,-0.00539507
3,41,0,-0.00539507
3,42,0,-0.00539507
3,43,0,-0.00539507
3,44,0,-0.00539507
3,45,0,-0.00539507
3,46,0,-0.00539507
3,47,0,-0.00539507
3,48,0,-0.00539507
3,49,0,-0.00539507
3,50,0,-0.00539507
3.5,0,0,-17.2093
3.5,1,0,-17.1802
3.5,2,0,-17.0926
3.5,3,0,-16.9456
3.5,4,0,-16.7377
3.5,5,0,-16.4666
3.5,6,0,-16.1289
3.5,7,0,-15.7206
3.5,8,0,-15.2358
3.5,9,0,-14.667
3.5,10,0,-14.004
3.5,11,0,-13.2326
3.5,12,0,-12.3324
3.5,13,0,-11.2726
3.5,14,0,-10.0027
3.5,15,0,-8.42793
3.5,16,0,-6.32448
3.5,17,0,-2.63531
3.5,18,0,-0.00734328
3.5,19,0,-0.00734328
3.5,20,0,-0.00734328
3.5,21,0,-0.00734328
3.5,22,0,-0.00734328
3.5,23,0,-0.00734328
3.5,24,0,-0.00734328
3.5,25,0,-0.00734328
3.5,26,0,-0.00734328
3.5,27,0,-0.00734328
3.5,28,0,-0.00734328
3.5,29,0,-0.00734328
3.5,30,0,-0.00734328
3.5,31,0,-0.00734328
3.5,32,0,-0.00734328
3.5,33,0,-0.00734328
3.5,34,0,-0.00734328
3.5,35,0,-0.00734328
3.5,36,0,-0.00734328
3.5,37,0,-0.00734328
3.5,38,0,-0.00734328
3.5,39,0,-0.00734328
3.5,40,0,-0.00734328
3.5,41,0,-0.00734328
3.5,42,0,-0.00734328
3.5,43,0,-0.00734328
3.5,44,0,-0.00734328
3.5,45,0,-0.00734328
3.5,46,0,-0.00734328
3.5,47,0,-0.00734328
3.5,48,0,-0.00734328
3.5,49,0,-0.00734328
3.5,50,0,-0.00734328
4,0,0,-17.2201
4,1,0,-17.191
4,2,0,-17.1035
4,3,0,-16.9566
4,4,0,-16.7488
4,5,0,-16.4778
4,6,0,-16.1404
4,7,0,-15.7322
4,8,0,-15.2478
4,9,0,-14.6793
